Country,Latitude,Longitude,Continent
Andorra,42.546245,1.601554,Europe
United_Arab_Emirates,23.424076,53.847818,Asia
Afghanistan,33.93911,67.709953,Asia
Antigua_and_Barbuda,17.060816,-61.796428,NorthAmerica
Anguilla,18.220554,-63.068615,NorthAmerica
Albania,41.153332,20.168331,Europe
Armenia,40.069099,45.038189,Europe
Netherlands_Antilles,12.226079,-69.060087,SouthAmerica
Angola,-11.202692,17.873887,Africa
Antarctica,-75.250973,-0.071389,Antarctica
Argentina,-38.416097,-63.616672,SouthAmerica
American_Samoa,-14.270972,-170.132217,Oceania
Austria,47.516231,14.550072,Europe
Australia,-25.274398,133.775136,Oceania
Aruba,12.52111,-69.968338,SouthAmerica
Azerbaijan,40.143105,47.576927,Europe
Bosnia_and_Herzegovina,43.915886,17.679076,Europe
Barbados,13.193887,-59.543198,NorthAmerica
Bangladesh,23.684994,90.356331,Asia
Belgium,50.503887,4.469936,Europe
Burkina_Faso,12.238333,-1.561593,Africa
Bulgaria,42.733883,25.48583,Europe
Bahrain,25.930414,50.637772,Asia
Burundi,-3.373056,29.918886,Africa
Benin,9.30769,2.315834,Africa
Bermuda,32.321384,-64.75737,NorthAmerica
Brunei,4.535277,114.727669,Asia
Bolivia,-16.290154,-63.588653,SouthAmerica
Brazil,-14.235004,-51.92528,SouthAmerica
Bahamas,25.03428,-77.39628,NorthAmerica
Bhutan,27.514162,90.433601,Asia
Bouvet_Island,-54.423199,3.413194,Antarctica
Botswana,-22.328474,24.684866,Africa
Belarus,53.709807,27.953389,Europe
Belize,17.189877,-88.49765,NorthAmerica
Canada,56.130366,-106.346771,NorthAmerica
Cocos_Islands,-12.164165,96.870956,Asia
DRC,-4.038333,21.758664,Africa
Central_African_Republic,6.611111,20.939444,Africa
Congo,-0.228021,15.827659,Africa
Switzerland,46.818188,8.227512,Europe
Cote_d'Ivoire,7.539989,-5.54708,Africa
Cook_Islands,-21.236736,-159.777671,Oceania
Chile,-35.675147,-71.542969,SouthAmerica
Cameroon,7.369722,12.354722,Africa
China,35.86166,104.195397,Asia
Colombia,4.570868,-74.297333,SouthAmerica
Costa_Rica,9.748917,-83.753428,NorthAmerica
Cuba,21.521757,-77.781167,NorthAmerica
Cape_Verde,16.002082,-24.013197,Africa
Christmas_Island,-10.447525,105.690449,Asia
Cyprus,35.126413,33.429859,Europe
Czech_Republic,49.817492,15.472962,Europe
Germany,51.165691,10.451526,Europe
Djibouti,11.825138,42.590275,Africa
Denmark,56.26392,9.501785,Europe
Dominica,15.414999,-61.370976,NorthAmerica
Dominican_Republic,18.735693,-70.162651,NorthAmerica
Algeria,28.033886,1.659626,Europe
Ecuador,-1.831239,-78.183406,SouthAmerica
Estonia,58.595272,25.013607,Europe
Egypt,26.820553,30.802498,Africa
Western_Sahara,24.215527,-12.885834,Africa
Eritrea,15.179384,39.782334,Africa
Spain,40.463667,-3.74922,Europe
Ethiopia,9.145,40.489673,Africa
Finland,61.92411,25.748151,Europe
Fiji,-16.578193,179.414413,Oceania
Falkland_Islands,-51.796253,-59.523613,SouthAmerica
Micronesia,7.425554,150.550812,Oceania
Faroe_Islands,61.892635,-6.911806,Europe
France,46.227638,2.213749,Europe
Gabon,-0.803689,11.609444,Africa
UK,55.378051,-3.435973,Europe
Grenada,12.262776,-61.604171,NorthAmerica
Georgia,42.315407,43.356892,Europe
French_Guiana,3.933889,-53.125782,SouthAmerica
