lineage,success,fail,total,pcent_recall
A,215,30,245,87.76
A.1,1095,0,1095,100.0
A.1.1,14,0,14,100.0
A.1.3,10,0,10,100.0
A.2,294,0,294,100.0
A.3,190,1,191,99.48
A.4,24,0,24,100.0
A.5,118,5,123,95.93
A.6,26,0,26,100.0
A.p7,27,0,27,100.0
B,1705,35,1740,97.99
B.1,6750,105,6855,98.47
B.1.1,6249,9,6258,99.86
B.1.1.1,951,0,951,100.0
B.1.1.10,170,1,171,99.42
B.1.1.13,16,0,16,100.0
B.1.1.14,15,0,15,100.0
B.1.1.p16,11,1,12,91.67
B.1.1.17,28,0,28,100.0
B.1.1.18,6,0,6,100.0
B.1.1.2,107,1,108,99.07
B.1.1.3,53,0,53,100.0
B.1.1.4,50,0,50,100.0
B.1.1.5,29,0,29,100.0
B.1.1.6,45,0,45,100.0
B.1.1.7,108,0,108,100.0
B.1.1.8,65,0,65,100.0
B.1.1.9,67,0,67,100.0
B.1.1.p11,28,7,35,80.0
B.1.1.p12,16,4,20,80.0
B.1.1.p15,12,11,23,52.17
B.1.1.p19,5,2,7,71.43
B.1.12,41,0,41,100.0
B.1.13,248,0,248,100.0
B.1.p16,18,1,19,94.74
B.1.19,29,0,29,100.0
B.1.p2,363,23,386,94.04
B.1.p21,265,25,290,91.38
B.1.22,31,0,31,100.0
B.1.23,78,0,78,100.0
B.1.26,28,0,28,100.0
B.1.29,27,0,27,100.0
B.1.3,171,1,172,99.42
B.1.30,60,0,60,100.0
B.1.31,10,0,10,100.0
B.1.32,17,0,17,100.0
B.1.33,19,0,19,100.0
B.1.34,20,0,20,100.0
B.1.35,59,0,59,100.0
B.1.36,158,2,160,98.75
B.1.37,20,0,20,100.0
B.1.38,18,0,18,100.0
B.1.39,36,1,37,97.3
B.1.40,22,0,22,100.0
B.1.41,28,1,29,96.55
B.1.43,58,0,58,100.0
B.1.44,46,1,47,97.87
B.1.5,702,281,983,71.41
B.1.5.1,93,0,93,100.0
B.1.5.2,12,0,12,100.0
B.1.5.3,33,0,33,100.0
B.1.5.4,16,0,16,100.0
B.1.5.5,33,0,33,100.0
B.1.5.6,32,0,32,100.0
B.1.6,22,0,22,100.0
B.1.66,28,0,28,100.0
B.1.67,14,0,14,100.0
B.1.p68,13,1,14,92.86
B.1.69,16,0,16,100.0
B.1.70,19,0,19,100.0
B.1.71,22,0,22,100.0
B.1.72,27,0,27,100.0
B.1.8,83,1,84,98.81
B.1.p9,34,2,36,94.44
B.1.p11,584,317,901,64.82
B.1.p25,15,5,20,75.0
B.1.p42,63,18,81,77.78
B.1.p73,125,4,129,96.9
B.10,66,0,66,100.0
B.p11,14,1,15,93.33
B.13,19,0,19,100.0
B.14,38,1,39,97.44
B.15,37,0,37,100.0
B.16,86,0,86,100.0
B.2,915,45,960,95.31
B.2.1,1529,0,1529,100.0
B.2.2,205,0,205,100.0
B.2.4,24,0,24,100.0
B.2.5,141,1,142,99.3
B.2.6,47,1,48,97.92
B.2.7,46,1,47,97.87
B.3,743,0,743,100.0
B.4,256,1,257,99.61
B.5,18,0,18,100.0
B.6,210,0,210,100.0
B.7,33,0,33,100.0
B.9,34,0,34,100.0
B.p12,4,0,4,100.0
