name,GISAID ID,country,travel history,sample date,epiweek,lineage,representative
USA/NY_2929/2020,EPI_ISL_420793,USA,,2020-03-02,10.0,B.1,1
USA/WA-S89/2020,EPI_ISL_417142,USA,,2020-02-29,9.0,A.1,1
USA/NH_0008/2020,EPI_ISL_420792,USA,,2020-03-02,10.0,B.1,1
USA/RI_0556/2020,EPI_ISL_420795,USA,,2020-03-01,10.0,B.1.5,1
USA/WA-S87/2020,EPI_ISL_417140,USA,,2020-03-01,10.0,A.1,1
USA/OR_5430/2020,EPI_ISL_420794,USA,,2020-03-01,10.0,B.2,1
USA/WA-S90/2020,EPI_ISL_417143,USA,,2020-02-29,9.0,A.1,1
USA/NH_0004/2020,EPI_ISL_420791,USA,,2020-02-29,9.0,B.1,1
USA/IL_1293/2020,EPI_ISL_420790,USA,,2020-03-01,10.0,B,1
USA/WA-S96/2020,EPI_ISL_417149,USA,,2020-02-28,9.0,A.1,1
USA/WA-S94/2020,EPI_ISL_417147,USA,,2020-02-28,9.0,A.1,0
USA/WA-S95/2020,EPI_ISL_417148,USA,,2020-02-28,9.0,A.1,0
USA/IL_1375/2020,EPI_ISL_420789,USA,,2020-03-01,10.0,B,1
USA/GA_1320/2020,EPI_ISL_420786,USA,,2020-03-03,10.0,A.3,1
USA/FL_6318/2020,EPI_ISL_420785,USA,,2020-03-02,10.0,B.1,1
USA/GA_1445/2020,EPI_ISL_420788,USA,,2020-03-04,10.0,A.3,1
USA/GA_1299/2020,EPI_ISL_420787,USA,,2020-03-03,10.0,B.1,1
USA/WA-S77/2020,EPI_ISL_417130,USA,,2020-03-05,10.0,A.1,0
Australia/VIC81/2020,EPI_ISL_419793,Australia,,2020-03-14,11.0,B.2.1,1
USA/WA-S78/2020,EPI_ISL_417131,USA,,2020-03-05,10.0,A.1,0
Australia/VIC80/2020,EPI_ISL_419792,Australia,,2020-03-14,11.0,B.2.1,1
Australia/VIC79/2020,EPI_ISL_419791,Australia,,2020-03-14,11.0,B.2.1,1
USA/AZ_4811/2020,EPI_ISL_420784,USA,,2020-03-02,10.0,B.1,0
Australia/VIC78/2020,EPI_ISL_419790,Australia,,2020-03-14,11.0,B,1
USA/WA-S81/2020,EPI_ISL_417134,USA,,2020-02-26,9.0,A.1,0
Australia/VIC87/2020,EPI_ISL_419797,Australia,,2020-03-15,12.0,B.2.1,1
Australia/VIC86/2020,EPI_ISL_419796,Australia,,2020-03-15,12.0,A.3,1
Australia/VIC85/2020,EPI_ISL_419795,Australia,,2020-03-15,12.0,A.3,0
USA/WA-S80/2020,EPI_ISL_417133,USA,,2020-03-05,10.0,A.1,0
Australia/VIC82/2020,EPI_ISL_419794,Australia,,2020-03-14,11.0,B.2.1,1
